965406	43:13.83	11	0.7358	0.7857
611515	31:07.36	8	0.7336	0.7891
665951	38:52.76	10	0.7472	0.8014
168466	27:49.67	7	0.7451	0.8043
465066	34:36.35	9	0.7425	0.7982
229955	39:44.39	10	0.7453	0.8186
846080	31:43.70	8	0.7412	0.8014
628200	37:29.39	10	0.7485	0.8076
936048	35:30.03	9	0.7407	0.7988
790799	38:50.58	10	0.7451	0.7872
847386	27:10.47	7	0.737	0.7915
321218	36:31.22	10	0.7498	0.813
267283	36:15.52	9	0.7393	0.7948
926016	29:34.09	8	0.7456	0.8005
88033	38:22.65	10	0.7382	0.786
462400	33:57.59	9	0.7384	0.7865
145264	26:21.50	7	0.7376	0.8061
916285	33:09.62	9	0.739	0.7887
452700	39:03.87	10	0.7433	0.8049
167892	33:26.57	9	0.7415	0.802
39990	33:03.45	8	0.7395	0.8005
718769	29:21.22	8	0.7405	0.8053
387716	36:59.07	10	0.7414	0.7957
922594	40:42.09	11	0.7225	0.7897
318520	31:25.79	8	0.7425	0.8018
302170	27:57.13	7	0.747	0.81
310826	30:15.95	8	0.7376	0.7886
678243	50:18.02	13	0.7374	0.8064
880872	29:32.72	8	0.7391	0.7789
743553	38:58.83	10	0.7447	0.8069
96352	33:54.81	9	0.7368	0.8001
366150	32:39.87	8	0.7461	0.8076
172014	39:50.04	10	0.7435	0.8098
894255	30:08.59	8	0.7419	0.7946
470711	39:59.88	10	0.7389	0.7792
667055	46:28.27	12	0.7326	0.7854
252932	30:13.40	8	0.7366	0.7978
444237	27:42.52	7	0.7386	0.7846
947490	31:09.79	8	0.7303	0.791
402232	43:33.60	11	0.7368	0.7934
191200	35:53.68	9	0.7312	0.7871
152777	31:25.17	8	0.7508	0.8095
859922	34:09.55	9	0.7307	0.7868
926551	45:59.94	12	0.7322	0.7935
842895	33:32.29	8	0.7518	0.8086
850214	38:15.00	10	0.7397	0.8033
529476	30:05.53	8	0.7494	0.8139
22214	33:55.45	9	0.7512	0.8059
631180	42:08.28	10	0.7373	0.8027
240640	25:29.62	7	0.7507	0.8145
401392	50:55.50	13	0.7413	0.8065
862419	45:19.65	12	0.7217	0.7862
111473	31:37.34	8	0.7494	0.8086
799008	27:15.05	7	0.7401	0.8015
20214	33:54.21	9	0.7329	0.7918
312345	34:11.44	9	0.747	0.7968
197445	33:48.68	8	0.747	0.793
861901	45:42.28	12	0.7291	0.7881
301142	38:02.67	10	0.7319	0.7802
822387	26:56.12	7	0.7416	0.805
944504	39:49.90	10	0.7287	0.7957
648769	38:23.31	10	0.726	0.7831
750753	32:02.53	8	0.7418	0.8026
123435	29:42.06	8	0.7384	0.793
359688	49:18.82	13	0.7405	0.8174
111125	35:15.36	9	0.7296	0.7803
890511	33:08.45	9	0.7496	0.8028
638012	50:00.94	13	0.7267	0.7841
550486	54:25.14	14	0.7339	0.7702
664596	34:21.55	9	0.7229	0.7815
948852	38:02.57	10	0.7485	0.8137
406200	48:16.71	12	0.7267	0.7855
411358	26:28.58	7	0.7369	0.7972
176598	35:40.87	9	0.7413	0.808
906286	42:42.85	10	0.7307	0.7929
174419	28:29.39	7	0.7601	0.822
340916	25:23.06	7	0.7424	0.8143
392676	27:08.18	7	0.7323	0.7832
770271	30:13.43	8	0.7482	0.7934
315738	48:46.33	13	0.7318	0.7811
937540	31:16.70	8	0.7363	0.8049
72458	36:30.52	10	0.7431	0.7879
32457	28:42.94	7	0.7448	0.8044
260841	25:17.19	7	0.7417	0.7942
102310	35:55.70	9	0.7497	0.8133
374153	26:24.62	7	0.7535	0.8184
480004	35:28.43	9	0.7408	0.8057
115692	46:56.10	12	0.744	0.8046
22459	25:08.24	7	0.746	0.7952
799878	38:08.91	10	0.7372	0.7911
268430	34:04.80	9	0.7252	0.794
322555	31:44.11	8	0.7425	0.7897
356282	26:27.65	7	0.7396	0.7951
96533	34:33.61	9	0.7478	0.7901
571851	42:21.08	10	0.741	0.7987
527728	34:16.10	9	0.7437	0.8032
554389	26:23.20	7	0.745	0.8016
719519	37:19.22	10	0.736	0.7924
962930	30:01.11	8	0.7413	0.8054
767056	37:19.78	10	0.7326	0.7777
